test_name,class,iterations,total_time_ms,per_iter_ms,clean_exit,list_file
Short/arr.tst,A,1000,35,0,yes,Short/ok_s.lst
Short/arnold.tst,C,1,148803,148803,yes,Short/ok_s.lst
Short/abusalem.tst,A,4,10004,2501,yes,Short/ok_s.lst
Short/branchTo.tst,A,1000,290,0,yes,Short/ok_s.lst
Short/bug_apply.tst,A,1000,47,0,yes,Short/ok_s.lst
Short/bug_arr.tst,A,304,1911,6,yes,Short/ok_s.lst
Short/bug_bucket.tst,A,1000,908,0,yes,Short/ok_s.lst
Short/bug_content.tst,A,1000,351,0,yes,Short/ok_s.lst
Short/bug_curvepar.tst,A,223,1889,8,yes,Short/ok_s.lst
Short/bug_division_2.tst,A,1000,201,0,yes,Short/ok_s.lst
Short/bug_dump.tst,A,1000,325,0,yes,Short/ok_s.lst
Short/bug_ecart.tst,A,1000,281,0,yes,Short/ok_s.lst
Short/bug_heuristic.tst,A,3,13070,4356,yes,Short/ok_s.lst
Short/bug_heuristic.tst,A,3,13079,4359,yes,Short/ok_s.lst
Short/bug_hilb.tst,A,61,10675,175,yes,Short/ok_s.lst
Short/bug_imap_alg.tst,A,45,7121,158,yes,Short/ok_s.lst
Short/bug_liftstd2.tst,A,417,927,2,yes,Short/ok_s.lst
Short/bug_liftstd4.tst,A,1000,237,0,yes,Short/ok_s.lst
Short/bug_liftstd5.tst,A,1000,486,0,yes,Short/ok_s.lst
Short/bug_mem_Z.tst,A,1000,735,0,yes,Short/ok_s.lst
Short/bug_misc.tst,A,1000,3,0,yes,Short/ok_s.lst
Short/bug_minpoly.tst,A,1000,1,0,yes,Short/ok_s.lst
Short/bug_minpoly2.tst,A,417,1005,2,yes,Short/ok_s.lst
Short/bug_minpoly_frac.tst,A,1000,95,0,yes,Short/ok_s.lst
Short/bug_mod.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_mpresmat.tst,A,1000,2,0,yes,Short/ok_s.lst
Short/bug_naGreater.tst,A,1000,89,0,yes,Short/ok_s.lst
Short/bug_newstruct.tst,A,1000,1,0,yes,Short/ok_s.lst
Short/bug_newstruct3.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_newstruct4.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_newstruct5.tst,A,1000,1,0,yes,Short/ok_s.lst
Short/bug_newstruct6.tst,A,257,3168,12,yes,Short/ok_s.lst
Short/bug_normalize.tst,A,1000,53,0,yes,Short/ok_s.lst
Short/bug_opposite.tst,A,1000,329,0,yes,Short/ok_s.lst
Short/bug_OrdSgn.tst,A,1000,63,0,yes,Short/ok_s.lst
Short/bug_orderM.tst,A,1000,135,0,yes,Short/ok_s.lst
Short/bug_prim.tst,A,48,7923,165,yes,Short/ok_s.lst
Short/bug_printres.tst,A,1000,606,0,yes,Short/ok_s.lst
Short/bug_paraplanecurve.tst,A,125,2043,16,yes,Short/ok_s.lst
Short/bug_qring2.tst,A,7,8369,1195,yes,Short/ok_s.lst
Short/bug_ring.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_ring_red.tst,A,1000,1321,1,yes,Short/ok_s.lst
Short/bug_ringlist.tst,A,1000,283,0,yes,Short/ok_s.lst
Short/bug_ringlist_M.tst,A,1000,524,0,yes,Short/ok_s.lst
Short/bug_sca.tst,A,417,901,2,yes,Short/ok_s.lst
Short/bug_sheafcoh.tst,A,264,2339,8,yes,Short/ok_s.lst
Short/bug_slimsyz.tst,A,1000,205,0,yes,Short/ok_s.lst
Short/bug_solve.tst,A,323,2174,6,yes,Short/ok_s.lst
Short/bug_ssi_algring.tst,A,1000,730,0,yes,Short/ok_s.lst
Short/bug_ssi_attr.tst,A,1000,160,0,yes,Short/ok_s.lst
Short/bug_subst.tst,A,1000,118,0,yes,Short/ok_s.lst
Short/bug_zp.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_pr1249.tst,A,1000,82,0,yes,Short/ok_s.lst
Short/bug_tr237.tst,A,1000,1228,1,yes,Short/ok_s.lst
Short/bug_tr276.tst,C,1,21607,21607,yes,Short/ok_s.lst
Short/bug_tr339.tst,A,1000,1701,1,yes,Short/ok_s.lst
Short/bug_tr393.tst,A,1000,785,0,yes,Short/ok_s.lst
Short/bug_tr488.tst,B,109,0,0,yes,Short/ok_s.lst
Short/bug_tr501.tst,A,1000,4911,4,yes,Short/ok_s.lst
Short/bug_tr559.tst,A,1000,486,0,yes,Short/ok_s.lst
Short/bug_tr587.tst,A,1000,1002,1,yes,Short/ok_s.lst
Short/bug_tr599.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_tr604.tst,A,78,7446,95,yes,Short/ok_s.lst
Short/bug_tr627.tst,A,1000,308,0,yes,Short/ok_s.lst
Short/bug_tr630.tst,A,1000,0,0,yes,Short/ok_s.lst
Short/bug_tr634.tst,A,27,8261,305,yes,Short/ok_s.lst
Short/bug_tr640.tst,A,95,7044,74,yes,Short/ok_s.lst
Short/bug_tr641.tst,A,80,7151,89,yes,Short/ok_s.lst
